Name,Type,Count,Build cost,Effect,Storage
Sample Containment,Storage,2,2Fe,,D:12
Data Bank,Storage,1,4Fe 1Ti,,D:20
Artificial Basin,Storage,1,1Fe,Can only store water,M:20
Storage Add-on,Storage,2,1Fe,Add onto any building,M:2
Storage Barge,Storage,2,3Fe,Must be built next to an ocean.,M:15
Lightweight Storage,Storage,3,,,M:2 D:2
Material Warehouse,Storage,2,4Fe,,M:15
Galactic Reserve,Storage,1,,"At the end of the game, if this building is full of gold, you gain 5 VP",M:15
High-Rise,Storage,2,1Fe 1H2O,Up to two other buildings can be built on this space.,C:3
Ocean,Terra,6,1Fe 1H2O,Each water stored counts as 1 Terra. Can only store water. You cannot remove water from the reservoir.,M:5
Arboretum,Terra,3,1H2O 1Fe,2 Terra,
Plankton Breeder,Terra,2,1H2O,May only be built on a planet with an ocean. 3 Terra,
Crustacean Breeder,Terra,2,1Fe 1H2O,May only be built on a planet with an ocean. 5 Terra,
Farm,Terra,2,2Fe 3H2O,3 Terra,C:0/5
Litmus Bacteria,Terra,2,2H2O 1Fe,2 Terra. Terraformed: you may investigate this planet's planet secret.,
Eco Lab,Terra,2,1H2O 1Fe,"2 Terra. RPT: Each Cycle, Generate 1 Research Point",D:1
Eco Mine,Terra,2,1H2O 2Fe,"1 Terra. Each cycle, Generate 1 material from this region.",M:1
Adaptive Lake,Terra,1,2H2O,"To build, place on top of an orange building you own. That building is now considered to be out of play. 3 Terra.",
Greenhouse,Terra,4,,1 Terra.,C:0/3
Rooftop Garden,Terra,2,1H2O,Add onto any non-green building. 1 Terra.,
